m.07kh6l7,Donald Ray Barnes,1943-12-05,2043-11-10,"",Datum umrtia nemusi byt spravny.
m.0107hw9w,Cristina Cairo,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010pk944,David Wilson,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011df0gp,Thyro Sharell,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011jrkfc,Linh-Dan Pham,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011m0x9t,Frank Rodriguez,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011mwv0l,Tommy de Mallet Morgan,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011v6gpq,Jack Slater,1995-02-15,2095-01-21,"",Datum umrtia nemusi byt spravny.
m.01pn8r_,Pekka Ruuska,1958-10-11,2058-09-16,"",Datum umrtia nemusi byt spravny.
m.01wnz_3,Jasyn Bangert,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01wtcr,Gerry Philbin,1941-07-31,2041-07-06,"",Datum umrtia nemusi byt spravny.
m.01x1_z9,Nils Agenmark,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0265jst,Donald G. Davis,1971-08-29,2071-08-04,"",Datum umrtia nemusi byt spravny.
m.02mk1d,John Sevier,1745-09-23,1815-09-24,"",""
m.02q7ll0,Gerald Barbarito,1950-01-04,2049-12-10,"",Datum umrtia nemusi byt spravny.
m.03ccw31,Klaus Segbers,1954-01-01,2053-12-07,"",Datum umrtia nemusi byt spravny.
m.03mbt9b,Sandra Bartky,1935-05-05,2035-04-10,"",Datum umrtia nemusi byt spravny.
m.03wpx1g,Randall Reneau,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03ww4s7,Patricia O. Ewers,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wxkb7,Thomas Patrick Carey,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04jqs3,Eric Archibald McNair,1894-06-16,1918-08-12,"",""
m.04zwx02,Louis Duvernois,1941-05-17,2041-04-22,"",Datum umrtia nemusi byt spravny.
m.056hpn,Robert Ludvigovich Bartini,1897-05-14,1974-12-06,"",""
m.05x_b6x,Marjorie Harter,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.06d2m,Rocca,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.06v9vw,George F. \Buddy\ Sasser,1989-01-01,1996-01-01,"",""
m.06w844,Heinz Winkler,1949-07-17,2049-06-22,"",Datum umrtia nemusi byt spravny.
m.01066plg,Woong Sung,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0108dl5k,Georges Huber,1910-01-01,2003-01-23,"",""
m.010lx7km,Son Jun-ho,1992-05-12,2092-04-17,"",Datum umrtia nemusi byt spravny.
m.011f6f9k,K. P. Sunil,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011lmkl5,Fernando Borel,1913-01-01,1989-10-16,"",""
m.011n45xf,Ted Preston,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011nl3w_,Karina Westbrooks,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011nzms2,Calvin Welch,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011v73r0,John Waddington,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.026c_yj,Charles Musès,1919-04-28,2000-01-01,"",""
m.0271pfz,Justin Brice Guariglia,1974-01-01,2073-12-07,"",Datum umrtia nemusi byt spravny.
m.02ppk5t,William A. Spinks,1865-07-11,1933-01-15,"",""
m.02prs0t,Art Thoms,1947-08-28,2047-08-03,"",Datum umrtia nemusi byt spravny.
m.02q85ww,Sarathambal,1970-01-01,1999-12-28,"",""
m.02qzmtd,Viktor Kuzkin,1940-07-06,2008-06-24,"",""
m.02r73hs,Jack Kirrane,1928-08-20,2028-07-26,"",Datum umrtia nemusi byt spravny.
m.02rv8w8,Kermit Murdock,1908-03-20,1981-02-11,"",""
m.03bsg5y,Andrew Weinreich,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03d_x84,George Cartwright,1950-12-10,2050-11-15,"",Datum umrtia nemusi byt spravny.
m.03f5l_4,Tom Sol,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03mh0dp,Art Frantz,1921-03-01,2008-01-24,"",""
m.043lmzr,Alexander Gontchenkov,1970-04-04,2070-03-10,"",Datum umrtia nemusi byt spravny.
m.043m19w,Arun Karthik,1986-02-15,2086-01-21,"",Datum umrtia nemusi byt spravny.
m.04f6g91,István Hamar,1970-10-06,2070-09-11,"",Datum umrtia nemusi byt spravny.
m.04gk494,Frederick Howard Bryant,1877-07-25,1945-09-04,"",""
m.04ybb7,Aaron Albert Mossell,1863-01-01,1951-01-01,"",""
m.05f9q_k,David Bachrach,1845-01-01,1921-01-01,"",""
m.05p16fg,Michael Lahoud,1986-09-15,2086-08-21,"",Datum umrtia nemusi byt spravny.
m.05vcwqz,James L. Collins,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05vg62v,Geoff Milburn,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05y5fyw,Michael Mirabito,1956-01-01,2055-12-07,"",Datum umrtia nemusi byt spravny.
m.05yg1j5,Donna Alvermann,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.069f86,Chase Stevens,1979-01-17,2078-12-23,"",Datum umrtia nemusi byt spravny.
m.06knvz,Chow Kai Wing,1947-01-01,2046-12-07,"",Datum umrtia nemusi byt spravny.
m.0806154,Eugene Lang,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0105m7s_,Fred Gayles,1966-05-11,2066-04-16,"",Datum umrtia nemusi byt spravny.
m.01067bs4,Richard Otto Hertz,1898-05-23,1961-08-02,"",""
m.010h7fr_,Fred Ehrsam,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010rsrfm,Jean Le Duc,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011dx_gw,Rahm,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.012z2nfz,Bob Whiting,1883-01-06,1982-12-13,"",Datum umrtia nemusi byt spravny.
m.01kp9_8,Rappin' 4-Tay,1968-03-02,2068-02-06,"",Datum umrtia nemusi byt spravny.
m.01v172,Edward Sexby,1616-01-01,1658-01-13,"",""
m.027cggv,Luis Antonio Jiménez,1982-05-07,2082-04-12,"",Datum umrtia nemusi byt spravny.
m.027zrc8,Paris Abbott,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02_8rjz,Michael A. Braun,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
