id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.02z0skp,Renat Yanbayev,1984-04-07,2084-03-13,m.06bnz,Renat Yanbayev,1.78,"",Datum umrtia nemusi byt spravny.
m.03c9psw,Shahab Hosseini,1974-02-03,2074-01-09,m.03shp,Shahab Hosseini,1.74,"",Datum umrtia nemusi byt spravny.
m.03f3g_h,"Edward Holland, Jr.",1939-10-30,2039-10-05,m.09c7w0,"Edward Holland, Jr.","","",Datum umrtia nemusi byt spravny.
m.03x9wg,Giuliano da Sangallo,1443-01-01,1516-01-01,m.03rjj,Giuliano da Sangallo,"","",""
m.04_128k,Jean-Léonce Dupont,1955-01-31,2055-01-06,m.0f8l9c,Jean-Léonce Dupont,"","",Datum umrtia nemusi byt spravny.
m.04f2k,Klaus Barbie,1913-10-25,1991-09-23,m.0345h,Klaus Barbie,"","",""
m.04f2k,Klaus Barbie,1913-10-25,1991-09-23,m.082fr,Klaus Barbie,"","",""
m.04f2k,Klaus Barbie,1913-10-25,1991-09-23,m.03b79,Klaus Barbie,"","",""
m.051y2mw,Christian Prosenik,1968-06-07,2068-05-13,m.0h7x,Christian Prosenik,1.8,"",Datum umrtia nemusi byt spravny.
m.05p97xn,Marko Kon,1972-04-20,2072-03-26,m.077qn,Marko Kon,"","",Datum umrtia nemusi byt spravny.
g.1234n430,Nina Ritter,1981-01-26,2081-01-01,m.0345h,Nina Ritter,"","",Datum umrtia nemusi byt spravny.
m.020h0l,David Parnas,1941-02-10,2041-01-16,m.09c7w0,David Parnas,"","",Datum umrtia nemusi byt spravny.
m.020h0l,David Parnas,1941-02-10,2041-01-16,m.0d060g,David Parnas,"","",Datum umrtia nemusi byt spravny.
m.027331g,Brian Hansen,1960-10-20,2060-09-25,m.09c7w0,Brian Hansen,"","",Datum umrtia nemusi byt spravny.
m.02hgkxx,Daniel Strigel,1975-02-13,2075-01-19,m.0345h,Daniel Strigel,1.96,"",Datum umrtia nemusi byt spravny.
m.02px29,Władysław Raczkiewicz,1885-01-28,1947-06-06,m.07ssc,Władysław Raczkiewicz,"","",""
m.02y8d3,Walter L. Gordon,1907-01-26,1987-03-21,m.0d060g,Walter L. Gordon,"","",""
m.02z516p,Edmund Hockridge,1919-08-09,2009-03-15,m.0d060g,Edmund Hockridge,"","",""
m.03c8t8c,Robert Thornby,1888-03-27,1953-03-06,m.09c7w0,Robert Thornby,"","",""
m.03d1dcg,Marc Gafni,1961-01-01,2060-12-07,m.09c7w0,Marc Gafni,"","",Datum umrtia nemusi byt spravny.
m.03q68x,Robert McAlmon,1895-03-09,1956-02-02,m.09c7w0,Robert McAlmon,"","",""
m.04gjd1k,Roy Matsumoto,1913-05-01,2014-04-21,m.09c7w0,Roy Matsumoto,"","",""
m.04gjd1k,Roy Matsumoto,1913-05-01,2014-04-21,m.03_3d,Roy Matsumoto,"","",""
m.051x4wx,Jack D. Moore,1906-04-15,1998-12-29,m.09c7w0,Jack D. Moore,"","",""
g.121qg1sp,Antonio Sánchez-Barbudo,1910-01-01,1995-08-19,m.06mkj,Antonio Sánchez-Barbudo,"","",""
m.01ffpd,Paul Moyer Limbert,1897-05-27,1998-12-24,m.09c7w0,Paul Moyer Limbert,"","",""
m.01jfclc,Trevor Jones,1949-03-23,2049-02-26,m.0hzlz,Trevor Jones,"","",Datum umrtia nemusi byt spravny.
m.0268fkl,Andrew Collins,"","",m.09c7w0,Andrew Collins,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03mc45_,Doctor Greenwood,1860-10-31,1951-11-03,m.02jx1,Doctor Greenwood,"","",""
m.03zz7l,Allan B. Calhamer,1931-12-07,2013-02-25,m.09c7w0,Allan B. Calhamer,"","",""
