id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.011lpgfr,Warren Ryanes,1937-12-14,1982-06-16,m.09c7w0,Warren Ryanes,"","",""
m.01pq_l,Welwyn Wilton Katz,1948-06-07,2048-05-13,m.0d060g,Welwyn Wilton Katz,"","",Datum umrtia nemusi byt spravny.
m.01s60r,Armand Fallières,1841-11-06,1931-06-22,m.0f8l9c,Armand Fallières,"","",""
m.0268_kz,Tim Barker,1981-06-19,2081-05-25,m.03rt9,Tim Barker,"","",Datum umrtia nemusi byt spravny.
m.02ptddw,Christophe Himmer,1976-01-22,2075-12-28,m.0f8l9c,Christophe Himmer,1.7,"",Datum umrtia nemusi byt spravny.
m.02qs34,George Foster Peabody,1852-07-27,1938-03-04,m.09c7w0,George Foster Peabody,"","",""
m.02r9y5n,Donald Canfield,1958-01-01,2057-12-07,m.09c7w0,Donald Canfield,"","",Datum umrtia nemusi byt spravny.
m.02vm3ys,Ernie Goldthorpe,1898-06-08,1929-11-05,m.02jx1,Ernie Goldthorpe,"","",""
m.03cy61b,Nicky Jones,1996-07-16,2096-06-21,m.09c7w0,Nicky Jones,"","",Datum umrtia nemusi byt spravny.
m.04f79p,Gerhard Küntscher,1900-12-06,1972-12-17,m.0345h,Gerhard Küntscher,"","",""
m.056sw1,Michael McCarthy,1976-11-15,2076-10-21,m.03rt9,Michael McCarthy,"","",Datum umrtia nemusi byt spravny.
m.076xhhs,Aleksandr Dormidontov,1989-02-15,2089-01-21,m.06bnz,Aleksandr Dormidontov,1.82,"",Datum umrtia nemusi byt spravny.
m.07zjvqg,Mougel Bey,1818-01-01,1890-12-01,m.0f8l9c,Mougel Bey,"","",""
m.011py8tv,Grant Irvine,1991-03-17,2091-02-20,m.0chghy,Grant Irvine,1.86,"",Datum umrtia nemusi byt spravny.
m.0128s9mp,Louis Leygue,1905-08-25,2005-07-31,m.0f8l9c,Louis Leygue,"","",Datum umrtia nemusi byt spravny.
m.01wkch2,Miikka Koivisto,"","",m.02vzc,Miikka Koivisto,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01wvtj6,Jose Pasillas,1976-04-26,2076-04-01,m.09c7w0,Jose Pasillas,"","",Datum umrtia nemusi byt spravny.
m.026rmdb,Roxana Moslehi,"","",m.0d060g,Roxana Moslehi,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.026rmdb,Roxana Moslehi,"","",m.03shp,Roxana Moslehi,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02qv4l5,Amarro Fiamberti,"","",m.03rjj,Amarro Fiamberti,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03cpqf9,Samantha de Mel,1965-12-12,2065-11-17,m.06m_5,Samantha de Mel,"","",Datum umrtia nemusi byt spravny.
m.03f7flr,Rüdiger Baldauf,1961-01-31,2061-01-06,m.0345h,Rüdiger Baldauf,"","",Datum umrtia nemusi byt spravny.
m.03gqps_,Abdullah Atalar,1954-04-11,2054-03-17,m.01znc_,Abdullah Atalar,"","",Datum umrtia nemusi byt spravny.
m.04h2pj,Raymond Roussel,1877-01-20,1933-07-14,m.0f8l9c,Raymond Roussel,"","",""
m.05bzxk8,Asbjørn Helgeland,1966-02-04,2066-01-10,m.05b4w,Asbjørn Helgeland,1.82,"",Datum umrtia nemusi byt spravny.
m.06cptf,Rafe Spall,1983-03-10,2083-02-13,m.07ssc,Rafe Spall,"","",Datum umrtia nemusi byt spravny.
m.07m05n,Yo Oizumi,1973-04-03,2073-03-09,m.03_3d,Yo Oizumi,1.78,"",Datum umrtia nemusi byt spravny.
m.0806449,Mohammed Goyi Aliyu,1993-02-12,2093-01-18,m.05cgv,Mohammed Goyi Aliyu,1.78,"",Datum umrtia nemusi byt spravny.
m.01138mpq,Mino Bedin,1990-11-06,2090-10-12,m.03rjj,Mino Bedin,1.85,"",Datum umrtia nemusi byt spravny.
m.026g5qs,Edward and Henry Schnell,"","",m.0345h,Edward and Henry Schnell,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02pzvlk,Gilbert Banda,1983-05-30,2083-05-05,m.088q4,Gilbert Banda,"","",Datum umrtia nemusi byt spravny.
m.02q1zqs,Hoa Nguyen,1967-01-01,2066-12-07,m.09c7w0,Hoa Nguyen,"","",Datum umrtia nemusi byt spravny.
m.02w3l1,Jane Russell,1921-06-21,2011-02-28,m.09c7w0,Jane Russell,1.7,"",""
m.03d7wdw,Allen Miller,1948-08-10,2048-07-16,m.09c7w0,Allen Miller,1.78,"",Datum umrtia nemusi byt spravny.
m.03m8n9y,Sean Murphy,1965-08-17,2065-07-23,m.09c7w0,Sean Murphy,1.73,"",Datum umrtia nemusi byt spravny.
m.047ps30,Priya Suriyasena,1952-10-27,2052-10-02,m.06m_5,Priya Suriyasena,"","",Datum umrtia nemusi byt spravny.
m.04n4_gh,Aleksandr Lipko,1975-08-18,2075-07-24,m.06bnz,Aleksandr Lipko,1.86,"",Datum umrtia nemusi byt spravny.
m.055vlr_,Kanidoua Naboho,1952-01-01,2051-12-07,m.01699,Kanidoua Naboho,"","",Datum umrtia nemusi byt spravny.
m.0626jk,Najeeb Halaby,1915-11-19,2003-07-02,m.09c7w0,Najeeb Halaby,"","",""
m.063zs23,Eduard Tyukin,1978-05-19,2078-04-24,m.06bnz,Eduard Tyukin,"","",Datum umrtia nemusi byt spravny.
m.0101m2vj,Gene Hodges,1936-11-23,2014-07-06,m.09c7w0,Gene Hodges,"","",""
m.011sx_fz,Andrea Faustini,1994-01-01,2093-12-07,m.03rjj,Andrea Faustini,"","",Datum umrtia nemusi byt spravny.
m.026y3hk,Naho Toda,1974-03-13,2074-02-16,m.03_3d,Naho Toda,1.65,"",Datum umrtia nemusi byt spravny.
m.026z0w_,Kim Jin-pyo,1977-08-13,2077-07-19,m.06qd3,Kim Jin-pyo,"","",Datum umrtia nemusi byt spravny.
m.027xmnq,Bob Angelle,1896-08-26,1979-12-22,m.09c7w0,Bob Angelle,"","",""
m.0287x9x,Kyle Sweeney,1981-04-05,2081-03-11,m.09c7w0,Kyle Sweeney,"","",Datum umrtia nemusi byt spravny.
m.02_zk1,Adolf Guyer-Zeller,1839-05-01,1899-04-03,m.06mzp,Adolf Guyer-Zeller,"","",""
m.02q0053,Carter MacIntyre,"","",m.09c7w0,Carter MacIntyre,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02q6msl,Gladys Powers,1899-05-10,2008-08-15,m.0d060g,Gladys Powers,"","",""
m.02q6msl,Gladys Powers,1899-05-10,2008-08-15,m.07ssc,Gladys Powers,"","",""
m.02r948q,Clodoaldo Paulino de Lima,1978-11-25,2078-10-31,m.015fr,Clodoaldo Paulino de Lima,1.87,"",Datum umrtia nemusi byt spravny.
m.02rjbqx,Steve Gilliard,1964-11-13,2007-06-02,m.09c7w0,Steve Gilliard,"","",""
m.02s983b,Mary Howard,1740-01-01,1770-01-01,m.014tss,Mary Howard,"","",""
m.02x181s,Charles N. Fowler,1852-11-02,1932-05-27,m.09c7w0,Charles N. Fowler,"","",""
m.02z4kjd,Tom-Christer Nilsen,1969-01-01,2068-12-07,m.05b4w,Tom-Christer Nilsen,"","",Datum umrtia nemusi byt spravny.
m.04rpzc,"William Lever, 1st Viscount Leverhulme",1851-09-19,1925-05-07,m.07ssc,"William Lever, 1st Viscount Leverhulme","","",""
m.06pq37,Magne Hoseth,1980-10-13,2080-09-18,m.05b4w,Magne Hoseth,1.84,"",Datum umrtia nemusi byt spravny.
m.072xnz,George Joseph Bell,1770-03-20,1843-09-23,m.06q1r,George Joseph Bell,"","",""
m.010r3rm9,Anfernee Frederick,1996-01-23,2095-12-29,m.027nb,Anfernee Frederick,"","",Datum umrtia nemusi byt spravny.
m.0115p60l,Niclas Forss,1994-12-06,2094-11-11,m.02vzc,Niclas Forss,1.78,"",Datum umrtia nemusi byt spravny.
m.012npngz,Catherine de Jong,1956-01-01,2055-12-07,m.059j2,Catherine de Jong,"","",Datum umrtia nemusi byt spravny.
m.012w54fw,Mohd Azrif Nasrulhaq,1991-05-27,2091-05-02,m.09pmkv,Mohd Azrif Nasrulhaq,1.68,"",Datum umrtia nemusi byt spravny.
m.026g_xw,Boris Souvarine,1895-11-05,1984-11-01,m.0f8l9c,Boris Souvarine,"","",""
m.026pt9v,F'Murr,1946-03-31,2046-03-06,m.0f8l9c,F'Murr,"","",Datum umrtia nemusi byt spravny.
m.02q2n1d,Jim Katcavage,1934-10-28,1995-02-22,m.09c7w0,Jim Katcavage,"","",""
m.031y89,Will Friedle,1976-08-11,2076-07-17,m.09c7w0,Will Friedle,1.74,"",Datum umrtia nemusi byt spravny.
m.03c2smr,Ramon Neto da Costa,1987-02-16,2087-01-22,m.015fr,Ramon Neto da Costa,1.77,"",Datum umrtia nemusi byt spravny.
m.03c57n,Adolph Joffe,1883-10-10,1927-11-16,m.06bnz,Adolph Joffe,"","",""
m.04n4tjn,Greg Janicki,1984-07-09,2084-06-14,m.09c7w0,Greg Janicki,1.91,"",Datum umrtia nemusi byt spravny.
m.05mx1l,Chip Kidd,1964-09-12,2064-08-18,m.09c7w0,Chip Kidd,"","",Datum umrtia nemusi byt spravny.
m.065bd9,Jeff Farmer,1962-08-14,2062-07-20,m.09c7w0,Jeff Farmer,1.9,"",Datum umrtia nemusi byt spravny.
m.076y1ln,Borislav Tomovski,1972-09-21,2072-08-27,m.0bjv6,Borislav Tomovski,1.75,"",Datum umrtia nemusi byt spravny.
m.0111hmld,Eliana Milián,"","",m.0d04z6,Eliana Milián,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0114dq04,Susan Andrews,1971-05-26,2071-05-01,m.0chghy,Susan Andrews,"","",Datum umrtia nemusi byt spravny.
m.01vcfq,Lotte Lenya,1898-10-18,1981-11-27,m.0h7x,Lotte Lenya,"","",""
m.0263txn,Lorna Simpson,1960-01-01,2059-12-07,m.09c7w0,Lorna Simpson,"","",Datum umrtia nemusi byt spravny.
m.02prlhq,Leanid Karneyenka,1987-08-20,2087-07-26,m.0163v,Leanid Karneyenka,1.87,"",Datum umrtia nemusi byt spravny.
m.02z3w50,Eric Villency,1975-06-10,2075-05-16,m.09c7w0,Eric Villency,"","",Datum umrtia nemusi byt spravny.
m.03c2l41,Stephan Potgieter,1963-03-17,2063-02-20,m.0chghy,Stephan Potgieter,"","",Datum umrtia nemusi byt spravny.
m.03clp_j,Volodymyr Hnatiuk,1871-05-09,1926-10-06,m.07t21,Volodymyr Hnatiuk,"","",""
m.03gxbqm,Jonathan Linsley,1956-01-17,2055-12-23,m.07ssc,Jonathan Linsley,"","",Datum umrtia nemusi byt spravny.
m.03qhtpl,Josephine Touray,1979-10-06,2079-09-11,m.0k6nt,Josephine Touray,1.65,"",Datum umrtia nemusi byt spravny.
m.03xpfzg,Matt Selman,"","",m.09c7w0,Matt Selman,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03y82sw,Kiel McLeod,1982-12-30,2082-12-05,m.0d060g,Kiel McLeod,1.98,"",Datum umrtia nemusi byt spravny.
m.04ybn7q,Peter Gál-Andrezly,1990-05-03,2090-04-08,m.06npd,Peter Gál-Andrezly,1.7,"",Datum umrtia nemusi byt spravny.
m.05b4bdq,Eugene Louis Dodaro,1951-05-07,2051-04-12,m.09c7w0,Eugene Louis Dodaro,"","",Datum umrtia nemusi byt spravny.
m.07kcjd_,Denis Soynikov,1986-06-03,2086-05-09,m.06bnz,Denis Soynikov,1.76,"",Datum umrtia nemusi byt spravny.
m.07qpgg,Sanne Salomonsen,1955-12-30,2055-12-05,m.0k6nt,Sanne Salomonsen,"","",Datum umrtia nemusi byt spravny.
m.010b3qzk,John F. Hanson,1915-04-25,2013-09-15,m.09c7w0,John F. Hanson,"","",""
m.011nc36m,Jake Lloyd,1983-03-15,2083-02-18,m.09c7w0,Jake Lloyd,"","",Datum umrtia nemusi byt spravny.
m.01bpgq,Sarah Zettel,1966-12-14,2066-11-19,m.09c7w0,Sarah Zettel,"","",Datum umrtia nemusi byt spravny.
m.01z2qn,Louis Auguste Blanqui,1805-02-08,1881-01-01,m.0f8l9c,Louis Auguste Blanqui,"","",""
m.026txvs,Minka Kelly,1980-06-24,2080-05-30,m.09c7w0,Minka Kelly,1.65,"",Datum umrtia nemusi byt spravny.
m.02710xx,Daniel Sangouma,1965-02-07,2065-01-13,m.0f8l9c,Daniel Sangouma,"","",Datum umrtia nemusi byt spravny.
m.034rbv,Axel Stordahl,1913-08-08,1963-08-30,m.09c7w0,Axel Stordahl,"","",""
m.03d2y_s,Mary Harvey,1965-06-04,2065-05-10,m.09c7w0,Mary Harvey,1.78,"",Datum umrtia nemusi byt spravny.
m.03h0x0t,Otto Röhr,1891-11-22,1972-01-08,m.0345h,Otto Röhr,"","",""
m.03hg619,Harald Kloser,1956-07-09,2056-06-14,m.0h7x,Harald Kloser,"","",Datum umrtia nemusi byt spravny.
m.03qcww8,Robert L. Rasmussen,1930-05-26,2030-05-01,m.09c7w0,Robert L. Rasmussen,"","",Datum umrtia nemusi byt spravny.
m.0408xx9,Shaibu Amodu,1958-04-18,2058-03-24,m.05cgv,Shaibu Amodu,"","",Datum umrtia nemusi byt spravny.
m.052mht,"Douglas Douglas-Hamilton, 14th Duke of Hamilton",1903-02-03,1973-03-30,m.07ssc,"Douglas Douglas-Hamilton, 14th Duke of Hamilton","","",""
m.05mtk8y,Walter A. McDougall,1946-01-01,2045-12-07,m.09c7w0,Walter A. McDougall,"","",Datum umrtia nemusi byt spravny.
m.05myqrh,Rondell Sorrillo,1986-01-24,2085-12-30,m.09lxtg,Rondell Sorrillo,1.72,"",Datum umrtia nemusi byt spravny.
m.06crd1,Inger Nilsson,1959-05-04,2059-04-09,m.0d0vqn,Inger Nilsson,"","",Datum umrtia nemusi byt spravny.
m.01l_tjb,C.C.Catch,1964-07-31,2064-07-06,m.0345h,C.C.Catch,"","",Datum umrtia nemusi byt spravny.
m.01l_tjb,C.C.Catch,1964-07-31,2064-07-06,m.059j2,C.C.Catch,"","",Datum umrtia nemusi byt spravny.
m.0206p0,Paul Sarbanes,1933-02-03,2033-01-09,m.09c7w0,Paul Sarbanes,"","",Datum umrtia nemusi byt spravny.
m.027h9fv,Dave Cutler,1945-10-17,2045-09-22,m.0d060g,Dave Cutler,1.78,"",Datum umrtia nemusi byt spravny.
m.027m_jw,Miguel Ángel Lotina,1957-06-18,2057-05-24,m.06mkj,Miguel Ángel Lotina,1.76,"",Datum umrtia nemusi byt spravny.
m.02psxmn,Juuso Pykälistö,1975-05-21,2075-04-26,m.02vzc,Juuso Pykälistö,"","",Datum umrtia nemusi byt spravny.
m.02vys04,James Dayton,1988-12-12,2088-11-17,m.02jx1,James Dayton,1.72,"",Datum umrtia nemusi byt spravny.
m.035ztc,George Paget Thomson,1892-05-03,1975-09-10,m.07ssc,George Paget Thomson,"","",""
m.0415pph,Charlotte Zwerin,1931-08-15,2004-01-22,m.09c7w0,Charlotte Zwerin,"","",""
m.05c0kcr,Veljko Petković,1977-01-23,2076-12-29,m.077qn,Veljko Petković,1.99,"",Datum umrtia nemusi byt spravny.
m.05ttyb,Wang Ruowang,1918-02-04,2001-12-19,m.0d05w3,Wang Ruowang,"","",""
m.05wrvk9,Albert H. Morehead,1909-08-07,1966-10-05,m.09c7w0,Albert H. Morehead,"","",""
m.064ns0c,Harvey Grossinger,"","",m.09c7w0,Harvey Grossinger,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0114jtg3,Norbert Düwel,1968-01-05,2067-12-11,m.0345h,Norbert Düwel,1.86,"",Datum umrtia nemusi byt spravny.
m.01qx40h,Ivo Robić,1926-01-29,2000-03-09,m.01pj7,Ivo Robić,"","",""
m.02pmz70,Viktoriya Klimina,1976-03-01,2076-02-05,m.06bnz,Viktoriya Klimina,"","",Datum umrtia nemusi byt spravny.
m.02vv9q5,Brendan Toibin,1964-02-02,2013-02-12,m.09c7w0,Brendan Toibin,"","",""
m.04m16_,Bobby Rhine,1976-04-18,2011-09-05,m.09c7w0,Bobby Rhine,1.78,"",""
m.05q4pj,J. W. S. Cassels,1922-07-11,2022-06-16,m.07ssc,J. W. S. Cassels,"","",Datum umrtia nemusi byt spravny.
m.05xy1t,Lesley Stahl,1941-12-16,2041-11-21,m.09c7w0,Lesley Stahl,"","",Datum umrtia nemusi byt spravny.
m.06w7g15,Renan dos Santos,1989-05-18,2089-04-23,m.015fr,Renan dos Santos,1.9,"",Datum umrtia nemusi byt spravny.
m.07l51j6,Stéphane Aubier,1964-10-08,2064-09-13,m.0154j,Stéphane Aubier,"","",Datum umrtia nemusi byt spravny.
m.0115s6tn,Marian Kiernicki,1864-09-18,1945-04-24,m.01nhhz,Marian Kiernicki,"","",""
m.0115s6tn,Marian Kiernicki,1864-09-18,1945-04-24,m.012m_,Marian Kiernicki,"","",""
m.0115s6tn,Marian Kiernicki,1864-09-18,1945-04-24,m.05qhw,Marian Kiernicki,"","",""
m.025xfbm,Robert Copland-Crawford,1852-09-05,1894-01-01,m.06q1r,Robert Copland-Crawford,"","",""
m.02b8rj,"Charles Gordon-Lennox, 5th Duke of Richmond",1791-08-03,1860-10-21,m.07ssc,"Charles Gordon-Lennox, 5th Duke of Richmond","","",""
m.02wb0_7,Charles Paget,1799-01-01,1873-08-01,m.07ssc,Charles Paget,"","",""
m.03cqlg4,Aung Lwin,1935-10-23,2035-09-28,m.04xn_,Aung Lwin,"","",Datum umrtia nemusi byt spravny.
m.040kmf,Gracy Singh,1980-07-20,2080-06-25,m.03rk0,Gracy Singh,"","",Datum umrtia nemusi byt spravny.
m.043tq9,Malcolm Macdonald,1950-01-07,2049-12-13,m.02jx1,Malcolm Macdonald,"","",Datum umrtia nemusi byt spravny.
m.04q0904,Marcin Nowacki,1981-02-12,2081-01-18,m.05qhw,Marcin Nowacki,1.68,"",Datum umrtia nemusi byt spravny.
m.05b653r,Dann Glenn,1950-05-30,2050-05-05,m.09c7w0,Dann Glenn,"","",Datum umrtia nemusi byt spravny.
m.069cs1r,Sara Martins,1977-08-19,2077-07-25,m.0f8l9c,Sara Martins,"","",Datum umrtia nemusi byt spravny.
m.069cs1r,Sara Martins,1977-08-19,2077-07-25,m.05r4w,Sara Martins,"","",Datum umrtia nemusi byt spravny.
m.01r6mt,John Gould Fletcher,1886-01-03,1950-05-10,m.09c7w0,John Gould Fletcher,"","",""
m.01wjf57,Rob Bolland,1955-04-17,2055-03-23,m.0hzlz,Rob Bolland,"","",Datum umrtia nemusi byt spravny.
m.026gg_8,Henriette Mertz,1898-01-01,1982-01-01,m.09c7w0,Henriette Mertz,"","",""
m.02cvbp,John Buchanan,1931-04-22,2031-03-28,m.0d060g,John Buchanan,"","",Datum umrtia nemusi byt spravny.
m.02pljll,Ruth Vincent,1877-03-22,1955-07-04,m.07ssc,Ruth Vincent,"","",""
m.03mgx2,William Gibson,1914-11-13,2008-11-25,m.09c7w0,William Gibson,"","",""
m.04y8qrg,Warrington Phillip,1968-07-23,2068-06-28,m.06ryl,Warrington Phillip,"","",Datum umrtia nemusi byt spravny.
m.05wb0xn,Ronald Hilton,1911-01-01,2007-01-01,m.09c7w0,Ronald Hilton,"","",""
m.011r2fcb,Laura Solórzano,1961-01-01,2060-12-07,m.0b90_r,Laura Solórzano,"","",Datum umrtia nemusi byt spravny.
m.0127xc_q,Aimi,1991-12-25,2091-11-30,m.03_3d,Aimi,"","",Datum umrtia nemusi byt spravny.
m.01296bmm,Larry Papadopoulos,"","",m.0chghy,Larry Papadopoulos,1.8,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01w42ft,Zend Avesta,1970-01-01,2069-12-07,m.0f8l9c,Zend Avesta,"","",Datum umrtia nemusi byt spravny.
m.01wwt7t,Jazzie B,1963-01-26,2063-01-01,m.07ssc,Jazzie B,"","",Datum umrtia nemusi byt spravny.
m.026fk42,Fernando Dinarte Santos Silva,1980-10-03,2080-09-08,m.05r4w,Fernando Dinarte Santos Silva,1.81,"",Datum umrtia nemusi byt spravny.
m.02q5jts,Sunanda Mahendra,1938-01-01,2037-12-07,m.06m_5,Sunanda Mahendra,"","",Datum umrtia nemusi byt spravny.
m.02qrfkp,Bülent Akın,1978-08-28,2078-08-03,m.0154j,Bülent Akın,1.82,"",Datum umrtia nemusi byt spravny.
m.02x46k3,Jim Meade,1914-02-28,1977-08-01,m.09c7w0,Jim Meade,"","",""
m.034qqq,Karl Hass,1912-10-05,2004-04-21,m.0345h,Karl Hass,"","",""
m.043ksny,René Panhard,1841-05-27,1908-07-16,m.0f8l9c,René Panhard,"","",""
m.04gm5_5,Thomas Carr,1907-07-04,1997-04-23,m.09c7w0,Thomas Carr,"","",""
m.04jxlj,Martin Dunbar-Nasmith,1883-04-01,1965-06-29,m.07ssc,Martin Dunbar-Nasmith,"","",""
m.0521bxs,Scott Lawton,1976-08-23,2076-07-29,m.02jx1,Scott Lawton,"","",Datum umrtia nemusi byt spravny.
m.05zrgqq,Richard W. Tsien,1945-03-03,2045-02-06,m.09c7w0,Richard W. Tsien,"","",Datum umrtia nemusi byt spravny.
m.011lndsg,Nilson Dos Santos,"","",m.0chghy,Nilson Dos Santos,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02733zp,Andreas Schifferer,1974-08-03,2074-07-09,m.0h7x,Andreas Schifferer,"","",Datum umrtia nemusi byt spravny.
m.02r5m96,Joshua Toulmin Smith,1816-05-29,1869-04-28,m.02jx1,Joshua Toulmin Smith,"","",""
m.02r6v2n,Lencho Skibba,1988-02-18,2088-01-24,m.019pcs,Lencho Skibba,1.69,"",Datum umrtia nemusi byt spravny.
m.038kdx,Miguel Tejada,1974-05-25,2074-04-30,m.027rn,Miguel Tejada,1.75,"",Datum umrtia nemusi byt spravny.
m.03ycbc6,Daniel Moreno,1981-09-05,2081-08-11,m.06mkj,Daniel Moreno,1.73,"",Datum umrtia nemusi byt spravny.
m.06qykm,Chen Tze-chung,1958-06-24,2058-05-30,m.06f32,Chen Tze-chung,1.77,"",Datum umrtia nemusi byt spravny.
m.07s4nn5,Aleksei Danilenko,1984-01-05,2083-12-11,m.06bnz,Aleksei Danilenko,1.84,"",Datum umrtia nemusi byt spravny.
m.0129ll4_,Lukas Lekavičius,1994-03-30,2094-03-05,m.04gzd,Lukas Lekavičius,1.83,"",Datum umrtia nemusi byt spravny.
m.0130mmcx,Albert Demuyser,"","",m.0154j,Albert Demuyser,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01vv7gl,Malin Pettersen,1988-06-01,2088-05-07,m.05b4w,Malin Pettersen,"","",Datum umrtia nemusi byt spravny.
m.02756dc,GH057ayame,1988-06-09,2088-05-15,m.09c7w0,GH057ayame,"","",Datum umrtia nemusi byt spravny.
m.02pnn1k,Sidney Grapes,"","",m.02jx1,Sidney Grapes,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02pv_13,Roberto Carifi,1948-01-01,2047-12-07,m.03rjj,Roberto Carifi,"","",Datum umrtia nemusi byt spravny.
m.02rn1pw,Sonia Satra,1967-12-17,2067-11-22,m.09c7w0,Sonia Satra,"","",Datum umrtia nemusi byt spravny.
m.03h1nwz,Artur Ullrich,1957-10-10,2057-09-15,m.0345h,Artur Ullrich,"","",Datum umrtia nemusi byt spravny.
m.03wh6cf,Glen Richardson,1955-09-20,2055-08-26,m.0d060g,Glen Richardson,1.88,"",Datum umrtia nemusi byt spravny.
m.04nctw,Yaşar Kemal,1923-10-06,2015-02-28,m.01znc_,Yaşar Kemal,"","",""
g.121kwcd8,Björn Glasner,1973-05-05,2073-04-10,m.0345h,Björn Glasner,"","",Datum umrtia nemusi byt spravny.
m.011jw766,Baek Jin-dong,1973-01-23,2072-12-29,m.06qd3,Baek Jin-dong,"","",Datum umrtia nemusi byt spravny.
m.02hht4l,Edgar H. Adams,1868-04-07,1940-05-05,m.09c7w0,Edgar H. Adams,"","",""
m.02w2ct7,H. J. Fleure,1877-06-06,1969-07-01,m.07ssc,H. J. Fleure,"","",""
m.03cghr1,Moon Sung-kil,1963-07-20,2063-06-25,m.06qd3,Moon Sung-kil,1.66,"",Datum umrtia nemusi byt spravny.
m.03h53w7,Hari,1972-12-26,2072-12-01,m.03rk0,Hari,"","",Datum umrtia nemusi byt spravny.
m.04b058,Ernest Vessiot,1865-03-08,1952-10-17,m.0f8l9c,Ernest Vessiot,"","",""
m.04dlps,Boris Živković,1975-11-15,2075-10-21,m.0166b,Boris Živković,1.82,"",Datum umrtia nemusi byt spravny.
m.04dlps,Boris Živković,1975-11-15,2075-10-21,m.01pj7,Boris Živković,1.82,"",Datum umrtia nemusi byt spravny.
m.04gsbrf,David Griffin,1915-07-08,2004-03-25,m.0chghy,David Griffin,"","",""
m.04n57_j,Robert Schmidt,1882-04-24,1941-11-17,m.0k6nt,Robert Schmidt,"","",""
m.052v3n,Robert Hugh Benson,1871-11-18,1914-10-19,m.02jx1,Robert Hugh Benson,"","",""
m.05vyhxz,Liam Mac Uistin,1938-01-01,2037-12-07,m.03rt9,Liam Mac Uistin,"","",Datum umrtia nemusi byt spravny.
m.07gbbk,Kostas Vasileiadis,1984-03-15,2084-02-19,m.035qy,Kostas Vasileiadis,2.0,"",Datum umrtia nemusi byt spravny.
m.01028yg4,Jeff Eldridge,1967-01-13,2066-12-19,m.09c7w0,Jeff Eldridge,"","",Datum umrtia nemusi byt spravny.
m.0113gvsb,Robertus Dixon,1647-07-17,1733-01-20,m.07ssc,Robertus Dixon,"","",""
m.01wxd0k,Temistocle Popa,1921-06-27,2013-11-26,m.06c1y,Temistocle Popa,"","",""
m.028bwg1,Vytautas Kavolis,1930-10-08,1996-06-25,m.09c7w0,Vytautas Kavolis,"","",""
m.029vlc,Carel Fabritius,1622-02-27,1654-10-12,m.0dv0z,Carel Fabritius,"","",""
m.02wx461,Manuel Summers,1935-03-26,1993-06-12,m.06mkj,Manuel Summers,"","",""
m.03wbybk,Ernst von der Malsburg,1786-06-23,1824-09-20,m.0345h,Ernst von der Malsburg,"","",""
m.041gq2,Jade Hsu,1981-07-23,2081-06-28,m.09c7w0,Jade Hsu,1.63,"",Datum umrtia nemusi byt spravny.
m.04b8hz,Colin Hanks,1977-11-24,2077-10-30,m.09c7w0,Colin Hanks,1.86,"",Datum umrtia nemusi byt spravny.
m.011dhv7s,Hojo Taro,1976-09-18,2076-08-24,m.03_3d,Hojo Taro,"","",Datum umrtia nemusi byt spravny.
m.011stlq4,William Bartlett Dalby,1840-12-10,1918-12-29,m.07ssc,William Bartlett Dalby,"","",""
m.01pw6d1,Trond-Viggo Torgersen,1952-06-14,2052-05-20,m.05b4w,Trond-Viggo Torgersen,"","",Datum umrtia nemusi byt spravny.
m.01vrp5w,Jim Moginie,1956-05-18,2056-04-23,m.0chghy,Jim Moginie,"","",Datum umrtia nemusi byt spravny.
m.02z9mg9,Manuel Coppola,1982-05-11,2082-04-16,m.03rjj,Manuel Coppola,1.72,"",Datum umrtia nemusi byt spravny.
m.03c4dbb,Bobby Peters,1947-07-04,2047-06-09,m.09c7w0,Bobby Peters,"","",Datum umrtia nemusi byt spravny.
m.0497jm,Cliff Curtis,1968-07-27,2068-07-02,m.0ctw_b,Cliff Curtis,"","",Datum umrtia nemusi byt spravny.
m.05c1h4t,Charles Takyi,1984-11-12,2084-10-18,m.035dk,Charles Takyi,1.76,"",Datum umrtia nemusi byt spravny.
m.05c1h4t,Charles Takyi,1984-11-12,2084-10-18,m.0345h,Charles Takyi,1.76,"",Datum umrtia nemusi byt spravny.
