id,name,alias,birth,death,b_note,d_note
g.121tyk_t,Eivind Sander,"Sander, Eivind",1973-03-26,2073-03-01,"",Datum umrtia nemusi byt spravny.
g.122qxpss,Torsten Friedrich,-,1971-01-25,2070-12-31,"",Datum umrtia nemusi byt spravny.
g.122fjctl,Dietmar Franke,-,1938-05-10,2007-11-25,"",""
g.121dpncw,Cao Ju,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.1237k90_,Vyacheslav Slanko,-,1947-02-01,2047-01-07,"",Datum umrtia nemusi byt spravny.
g.122nbl46,Brunhild Decking-Schwill,-,1937-09-01,2037-08-07,"",Datum umrtia nemusi byt spravny.
g.11bc16p_kb,Antonio Martelli,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11bc14f482,Solomon Shapira,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.121p639x,Cenni di Francesco di Ser Cenni,-,1369-01-01,1415-01-01,"",""
g.1238xvt1,Hans Siemens,-,1818-01-01,1867-01-01,"",""
g.11dym0hyg,Allan Nilsson,"Nilsson, Allan",1933-05-10,2033-04-15,"",Datum umrtia nemusi byt spravny.
g.121zcrqn,Rei Asami,-,1950-03-11,2050-02-14,"",Datum umrtia nemusi byt spravny.
g.122whgg6,Erich Tschöp,-,1937-10-10,2037-09-15,"",Datum umrtia nemusi byt spravny.
g.11byb3q2bg,Gaye Gross Moelis,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122hcylr,Miltinho,Milton Lima dos Santos Filho,1943-10-18,2043-09-23,"",Datum umrtia nemusi byt spravny.
g.1228l_2c,Deuntem Salitul,Took,1958-09-09,2058-08-15,"",Datum umrtia nemusi byt spravny.
g.1218flpk,Rok Gradisnik,-,1988-01-12,2087-12-18,"",Datum umrtia nemusi byt spravny.
g.1225km8k,Secthdamon,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.123213r6,Lisa Feulner,-,1990-01-31,2090-01-06,"",Datum umrtia nemusi byt spravny.
g.1234n430,Nina Ritter,-,1981-01-26,2081-01-01,"",Datum umrtia nemusi byt spravny.
g.121qg1sp,Antonio Sánchez-Barbudo,-,1910-01-01,1995-08-19,"",""
g.11b6wpy343,Yūto Takahama,-,1996-08-08,2096-07-14,"",Datum umrtia nemusi byt spravny.
g.11bc1ggd3p,Baroness Victoria,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.121c9r1l,Stefan Barucha,-,1977-04-03,2077-03-09,"",Datum umrtia nemusi byt spravny.
g.121p0_zp,Robert Misch,-,1860-01-01,1929-01-01,"",""
g.124xw1pq6,José López-Rey,-,1905-01-01,1991-01-01,"",""
g.11b6ln58lg,Taiberson,Taiberson Ruan Menezes Nunes,1993-11-18,2093-10-24,"",Datum umrtia nemusi byt spravny.
g.11bc16p_p4,Princess Susan,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11bc14t0r3,Hongding,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11bc158hfn,Rukiye Sultan,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.121rpxtt,Halim Şefik Güzelson,-,1913-01-01,2012-12-07,"",Datum umrtia nemusi byt spravny.
g.122fjprv,Joey Duin,-,1981-06-04,2081-05-10,"",Datum umrtia nemusi byt spravny.
